year,state_territory,affiliation,school_level,student_teacher_ratio
2022,nsw,government,secondary,13.0
2022,vic,government,secondary,11.6
2022,qld,government,secondary,12.1
2021,nsw,government,secondary,13.2
2021,vic,government,secondary,11.8
2021,qld,government,secondary,12.1
2020,nsw,government,secondary,13.4
2020,vic,government,secondary,12.2
2020,qld,government,secondary,12.1
2019,nsw,government,secondary,13.9
2019,vic,government,secondary,12.3
2019,qld,government,secondary,12.1
2018,nsw,government,secondary,12.3
2018,vic,government,secondary,12.1
2018,qld,government,secondary,12.2
2017,nsw,government,secondary,12.4
2017,vic,government,secondary,12.3
2017,qld,government,secondary,12.4
2016,nsw,government,secondary,12.5
2016,vic,government,secondary,12.5
2016,qld,government,secondary,12.5
2015,nsw,government,secondary,12.5
2015,vic,government,secondary,12.6
2015,qld,government,secondary,12.7
2014,nsw,government,secondary,12.4
2014,vic,government,secondary,12.5
2014,qld,government,secondary,12.5
2013,nsw,government,secondary,12.3
2013,vic,government,secondary,12.2
2013,qld,government,secondary,12.6
2012,nsw,government,secondary,12.4
2012,vic,government,secondary,11.9
2012,qld,government,secondary,12.5
2011,nsw,government,secondary,12.5
2011,vic,government,secondary,11.7
2011,qld,government,secondary,12.5
2010,nsw,government,secondary,12.5
2010,vic,government,secondary,11.8
2010,qld,government,secondary,12.6
2009,nsw,government,secondary,12.4
2009,vic,government,secondary,11.9
2009,qld,government,secondary,12.7
2008,nsw,government,secondary,12.4
2008,vic,government,secondary,11.8
2008,qld,government,secondary,12.8
2007,nsw,government,secondary,12.5
2007,vic,government,secondary,11.8
2007,qld,government,secondary,12.9
2006,nsw,government,secondary,12.4
2006,vic,government,secondary,11.9
2006,qld,government,secondary,13.0
